  10.000    -5.719    -8.309     0.658    -5.414    -7.072     1.106    1.275    0.240   25.664 0     0.317   -10.729     1.423     0.819    -9.586     1.443    1.249    0.468    1.142 0     8.944    -8.028     2.883     9.162    -6.986     2.688    1.064    0.244  -11.166 0    12.149    -0.637    -2.596    12.578     0.233    -2.677    0.970    0.263   -4.626 0     7.760     7.487    -1.879     8.708     8.513    -1.963    1.397    0.355   -4.815 0     0.108    12.983    -1.641     1.226    14.069    -1.722    1.559    0.208   -4.617 0    -6.013     9.661    -0.729    -5.405    10.548    -0.644    1.076    0.377    4.891 0    -9.060     0.363    -0.656    -8.209     1.833    -0.543    1.698    0.214    6.464 0 
  11.000    -5.699    -8.328     1.073    -5.398    -6.900     1.538    1.460    0.139   26.616 0     0.375   -10.535     1.166     1.015    -9.217     1.192    1.465    0.271    1.483 0     7.784    -7.720     2.881     8.677    -6.576     2.686    1.452    0.188  -11.160 0    11.716    -0.874    -2.729    12.312     0.218    -2.823    1.244    0.196   -5.402 0     7.664     7.215    -1.932     8.252     8.263    -2.013    1.202    0.172   -4.653 0     0.135    12.709    -1.429     1.379    14.007    -1.499    1.797    0.219   -3.966 0    -5.659     9.270    -0.923    -5.120    10.428    -0.821    1.278    0.149    5.841 0    -8.519    -0.009    -0.572    -8.398     1.537    -0.459    1.550    0.184    6.479 0 
  12.000    -5.507    -7.840     1.264    -5.187    -6.782     1.677    1.106    0.080   23.643 0     0.504   -10.303     1.016     1.122    -8.809     1.076    1.617    0.181    3.463 0     7.318    -7.594     2.863     7.884    -6.318     2.668    1.396    0.158  -11.196 0    11.415    -0.993    -2.848    11.872     0.210    -2.936    1.288    0.228   -5.031 0     7.475     6.754    -1.991     8.233     8.105    -2.073    1.549    0.250   -4.707 0     0.176    12.533    -1.294     1.337    13.769    -1.353    1.696    0.673   -3.375 0    -5.483     9.010    -1.068    -4.633    10.281    -0.957    1.529    0.161    6.367 0    -8.127    -0.236    -0.471    -7.729     1.344    -0.348    1.628    0.243    7.054 0 
  13.000    -5.391    -7.358     1.372    -4.933    -6.346     1.794    1.111    0.227   24.185 0     0.591   -10.170     0.899     1.152    -9.016     0.956    1.283    0.345    3.311 0     6.868    -7.453     2.781     7.900    -6.156     2.587    1.658    0.191  -11.122 0    11.078    -1.082    -2.935    11.967     0.084    -3.024    1.466    0.192   -5.085 0     7.342     6.479    -2.068     8.168     7.708    -2.146    1.481    0.138   -4.448 0     0.335    12.068    -1.201     1.344    13.198    -1.259    1.515    0.194   -3.355 0    -5.183     8.377    -1.172    -4.099     9.754    -1.067    1.752    0.423    6.039 0    -8.001    -0.286    -0.312    -7.394     1.039    -0.178    1.457    0.403    7.647 0 
  14.000    -5.316    -6.899     1.441    -5.084    -5.773     1.856    1.149    0.201   23.803 0     0.643   -10.110     0.344     1.237    -8.854     0.354    1.390    0.204    0.565 0     6.776    -7.413     2.100     7.777    -5.976     1.953    1.752    0.237   -8.416 0    10.573    -1.164    -3.018    11.411    -0.065    -3.109    1.383    0.153   -5.225 0     7.294     6.396    -2.118     8.170     7.721    -2.196    1.589    0.307   -4.457 0     0.758    11.097    -1.127     1.356    12.428    -1.184    1.459    0.343   -3.257 0    -4.944     7.728    -1.250    -3.847     9.237    -1.146    1.865    0.271    5.992 0    -7.805    -0.339    -0.082    -6.917     1.359     0.075    1.916    0.248    8.976 0 
  15.000    -5.291    -6.667     1.495    -5.115    -5.474     1.913    1.206    0.437   23.933 0     0.637   -10.117    -1.193     0.981    -8.788    -1.218    1.372    0.489   -1.433 0     6.777    -7.392     1.368     7.465    -5.822     1.162    1.715    0.247  -11.792 0    10.164    -1.191    -3.122    10.946    -0.136     3.071    1.314    0.192   -5.113 0     7.151     6.161    -2.106     7.929     7.615    -2.183    1.650    0.242   -4.391 0     0.977    10.666    -1.071     1.659    12.052    -1.130    1.544    0.450   -3.353 0    -4.655     6.788    -1.306    -4.000     8.207    -1.206    1.563    0.400    5.690 0    -7.561    -0.329     0.149    -6.644     1.430     0.308    1.984    0.479    9.109 0 
  16.000    -5.285    -6.671     2.684    -4.902    -5.458     3.059    1.273    0.259   21.497 0     0.667   -10.209    -1.322     0.966    -8.680    -1.402    1.559    0.133   -4.578 0     6.799    -7.318     1.180     7.561    -5.657     0.993    1.827    0.264  -10.693 0    10.169    -1.185     3.037    10.886    -0.150     2.948    1.259    0.183   -5.099 0     6.988     5.883    -2.097     7.606     7.419    -2.174    1.656    0.082   -4.414 0     1.025    10.588    -1.029     1.583    12.186    -1.091    1.692    0.168   -3.546 0    -4.508     6.219    -1.332    -3.879     7.879    -1.234    1.775    0.367    5.616 0    -7.367    -0.277     0.342    -6.459     1.239     0.512    1.767    0.046    9.738 0 
  17.000    -5.283    -6.675    -2.186    -4.840    -5.337    -1.847    1.409    0.144   19.429 0     0.700   -10.357    -1.388     1.184    -9.098    -1.466    1.349    0.202   -4.501 0     6.810    -7.291     1.040     7.573    -5.909     0.849    1.578    0.408  -10.945 0    10.022    -1.161     2.900    10.713     0.077     2.820    1.418    0.188   -4.588 0     6.834     5.611    -2.076     7.496     7.098    -2.153    1.627    0.381   -4.427 0     1.221    10.268    -1.009     1.915    11.697    -1.072    1.589    0.143   -3.635 0    -4.424     5.874    -1.309    -3.861     7.356    -1.209    1.585    0.504    5.735 0    -7.355    -0.273     0.871    -6.373     1.387     1.040    1.928    0.259    9.699 0 
  18.000    -5.355    -6.786    -2.104    -4.894    -5.440    -1.775    1.423    0.262   18.812 0     0.710   -10.424    -1.442     1.577    -8.894    -1.517    1.759    0.522   -4.252 0     6.847    -7.237     0.798     7.651    -5.618     0.618    1.807    0.135  -10.322 0     9.965    -1.147     2.736    10.479    -0.001     2.650    1.256    0.232   -4.933 0     6.790     5.530    -2.033     7.525     6.905    -2.111    1.559    0.178   -4.490 0     1.356    10.057    -0.999     2.245    11.614    -1.064    1.793    0.097   -3.747 0    -4.396     5.784    -0.712    -4.149     7.235    -0.613    1.472    0.512    5.699 0    -7.362    -0.266     2.359    -6.453     1.323     2.611    1.831    0.170   14.430 0 
  19.000    -5.418    -6.897    -2.070    -4.717    -5.252    -1.737    1.788    0.569   19.084 0     0.722   -10.547    -1.490     1.448    -8.964    -1.564    1.742    0.477   -4.286 0     6.856    -7.232    -0.092     7.578    -5.682    -0.202    1.710    0.283   -6.337 0     9.888    -1.106     2.540    10.616     0.169     2.457    1.468    0.166   -4.724 0     6.730     5.398    -1.960     7.310     6.747    -2.039    1.469    0.280   -4.477 0     1.383    10.015    -0.984     2.234    11.429    -1.050    1.651    0.183   -3.766 0    -4.375     5.797     0.462    -3.998     7.386     0.623    1.634    0.146    9.196 0    -7.389    -0.244     2.581    -6.743     1.174     2.941    1.558    0.183   20.630 0 
